order_id,customer_id,order_date,total,status,returned
1001,2445,2025-11-12,176.39,completed,False
1002,2007,2025-08-12,241.2,completed,False
1003,1961,2025-11-29,615.99,completed,False
1004,1611,2025-12-24,978.3,completed,False
1005,912,2025-12-14,61.65,returned,True
1006,766,2025-12-25,123.22,completed,False
1007,652,2025-12-31,360.74,completed,False
1008,2203,2025-08-20,384.69,completed,False
1009,2333,2025-12-16,60.06,completed,False
1010,1530,2025-08-29,131.44,returned,True
1011,594,2025-08-26,643.01,returned,True
1012,1401,2025-09-15,149.8,completed,False
1013,1154,2025-09-02,37.97,completed,False
1014,1009,2025-11-21,572.56,returned,True
1015,1724,2025-12-10,251.79,returned,True
1016,1533,2025-10-18,286.73,completed,False
1017,1734,2025-09-25,1012.38,returned,True
1018,1763,2025-10-26,78.58,completed,False
1019,2171,2025-12-05,493.12,completed,False
1020,1683,2026-01-01,96.76,returned,True
1021,2183,2025-09-12,39.75,completed,False
1022,1915,2025-11-19,306.15,completed,False
1023,2369,2025-12-01,521.78,completed,False
1024,1944,2026-01-29,441.3,completed,False
1025,1095,2025-09-12,1136.83,completed,False
1026,1334,2025-09-15,824.27,completed,False
1027,882,2025-12-10,391.17,returned,True
1028,1663,2025-10-20,251.56,completed,False
1029,1321,2025-08-28,55.87,completed,False
1030,2454,2025-10-13,168.4,returned,True
1031,2077,2026-02-02,14.94,completed,False
1032,2032,2025-12-06,613.45,cancelled,False
1033,2289,2026-01-05,78.47,completed,False
1034,1405,2025-12-17,130.27,completed,False
1035,1351,2025-12-15,12.4,completed,False
1036,1685,2025-09-30,749.74,returned,True
1037,1419,2025-11-11,491.51,returned,True
1038,1369,2025-12-23,387.46,completed,False
1039,1725,2025-11-28,855.08,completed,False
1040,1783,2025-09-19,1065.7,completed,False
1041,994,2025-12-05,62.22,completed,False
1042,2389,2025-08-26,170.23,returned,True
1043,2358,2025-12-06,711.97,completed,False
1044,534,2025-09-12,756.38,completed,False
1045,2378,2025-09-22,99.63,returned,True
1046,1590,2025-08-07,50.14,completed,False
1047,698,2025-09-20,80.63,completed,False
1048,1441,2025-11-17,598.58,returned,True
1049,1056,2025-12-05,29.42,completed,False
1050,2181,2026-01-03,453.25,completed,False
1051,1526,2025-08-26,461.46,completed,False
1052,1633,2025-11-05,321.03,returned,True
1053,1958,2025-11-11,9.12,completed,False
1054,710,2025-10-14,18.34,completed,False
1055,1723,2025-08-29,559.9,returned,True
1056,1904,2025-09-18,28.4,completed,False
1057,1016,2025-11-06,851.07,returned,True
1058,2496,2026-01-19,161.13,completed,False
1059,1168,2025-10-07,994.42,completed,False
1060,1121,2026-01-15,606.52,returned,True
1061,1807,2026-01-05,190.4,returned,True
1062,2478,2025-10-29,269.02,completed,False
1063,953,2025-12-31,159.21,returned,True
1064,1214,2025-09-11,171.78,completed,False
1065,2139,2026-01-18,677.33,returned,True
1066,1168,2025-12-21,197.15,completed,False
1067,1304,2026-01-09,44.69,completed,False
1068,875,2025-09-04,44.6,completed,False
1069,1637,2025-09-19,43.44,completed,False
